# 简拼索引（自动生成，改词库后重跑 scripts/gen-jianpin-index.py）
# 格式：编码	词	权重
bb	并不	500777
bb	版本	500542
bb	宝宝	500318
bb	不必	500254
bb	爸爸	487875
bb	本报	300280
bb	不变	296690
bb	颁布	242140
bb	必备	187445
bb	不便	160360
bb	不被	146295
bb	病变	145490
bb	背包	123715
bb	并把	123630
bb	遍布	109005
bb	本部	103460
bb	并报	100650
bb	标本	91250
bb	辨别	89805
bb	并被	89080
bbb	并不比	21670
bbb	苯并芘	2510
bbb	别哔哔	2222
bbb	白板笔	1665
bbb	北半部	1150
bbb	嘣嘣嘣	1111
bbb	八百倍	800
bbb	变不变	475
bbb	爸爸抱	460
bbb	步兵班	400
bbb	表白吧	375
bbb	叭叭叭	310
bbb	崩崩崩	175
bbb	掰掰掰	174
bbb	白冰冰	113
bbb	别逼逼	111
bbb	爆爆爆	108
bbb	八百遍	100
bbb	白斑病	100
bbb	办不办	100
bbbb	斑斑驳驳	1750
bbbb	不褒不贬	160
bbbb	哔哔叭叭	110
bbbb	八八八八	100
bbbb	爸爸爸爸	100
bbbb	拜拜拜拜	100
bbbb	抱抱抱抱	100
bbbb	嘣嘣嘣嘣	100
bbbb	毕毕剥剥	25
bbbb	半痹半惫	1
bbbbn	八八八八年	100
bbbc	八宝菠菜	31
bbbch	版本编程	25
bbbchl	辨别不出来	295
bbbd	步兵部队	985
bbbd	蹦不蹦跶	100
bbbf	半抱半扶	1
bbbh	包不包含	100
bbbh	保不保护	100
bbbh	半白半黑	16
bbbh	八宝百合	7
bbbh	兵不逼好	1
bbbhb	包不包含吧	100
bbbhb	保不保护吧	100
bbbhl	包不包含啦	100
bbbhl	包不包含喽	100
bbbhl	保不保护啦	100
bbbhl	保不保护喽	100
bbbhm	包不包含吗	100
bbbhm	保不保护吗	100
bbbhw	包不包含哇	100
bbbhw	保不保护哇	100
bbbhy	包不包含呀	100
bbbhy	保不保护呀	100
bbbj	版本比较	1385
bbbj	八八八九	100
bbbj	百般巴结	100
bbbj	暴不暴击	100
bbbj	不饱不饥	17
bbbj	百步滨江	5
bbbjn	八八八九年	100
bbbk	不卑不亢	9705
bbbk	宝宝不哭	154
bbbk	包不包括	100
bbbk	半闭半开	4
bbbkdtd	不卑不亢的态度	100
bbbl	八八八〇	100
bbbl	八八八六	100
bbbl	巴比布朗	100
bbbl	百倍爆率	100
bbbl	宝宝暴龙	100
bbbl	鲍比布朗	100
bbbl	苯并吡咯	100
bbbl	别哔哔了	100
bbbl	别逼逼了	100
bbbl	半抱半拉	1
bbbl	半表半里	1
bbbln	八八八〇年	100
bbbln	八八八六年	100
bbbm	不辩不明	35
bbbm	不拨不明	30
bbbn	苯并吡喃	100
bbbnw	苯并吡喃𬭩	100
bbbp	百病不碰	100
bbbq	百病不侵	198
